0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
2_2,6_6,2_2,0_0,2_2,3_3,5_5,12_12,6_6,4_4,5_5,1_1,6_6,4_4,7_7,65_65
0,0,0,0,0,0,1,0,0,0,0,0,,,,1
1,0,0,0,0,0,1,1,0,0,0,1,,,,4
6_6,2_2,5_5,5_5,2_2,8_8,8_8,6_6,1_1,4_4,3_3,5_5,,,,55_55
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2_2,2_2,0_0,3_3,5_5,4_4,7_7,1_1,5_5,7_7,3_3,6_6,3_3,5_5,3_3,56_56
0,0,0,0,0,0,0,0,0,0,0,5,,,,5
0,0,0,0,0,1,0,0,0,0,0,0,,,,1
4_4,3_3,4_4,4_4,4_4,3_3,3_3,1_1,1_1,1_1,6_6,3_4,,,,37_38
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6_6,3_3,3_3,5_5,4_4,2_2,8_8,6_6,6_6,3_3,5_5,2_2,2_2,5_5,5_5,65_65
0,0,0,0,0,0,0,0,0,0,0,0,,,,0
0,8,1,1,0,0,1,0,0,1,0,1,,,,13
2_2,8_21,4_4,3_3,1_1,3_3,4_4,6_6,5_5,2_2,7_7,4_4,,,,49_62
0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,8
1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3
1_1,5_5,3_3,4_4,2_2,0_0,7_7,4_4,3_3,3_3,4_4,6_6,3_3,7_7,3_7,55_59
0,0,0,0,0,0,0,0,0,0,0,10,,,,10
0,0,0,1,0,0,0,0,0,1,0,1,,,,3
6_6,5_5,3_3,6_6,2_2,1_1,4_4,4_4,4_4,6_6,9_9,3_6,,,,53_56
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
1,0,1,0,0,1,0,0,0,0,0,0,0,0,3,6
