,0.01%,0.1%,0.2%,0.3%,0.4%,0.5%,0.6%,0.7%,0.8%,0.9%,1%
test 1,100,99.87,99.51,99.05,98.39,97.74,97.08,96.21,95.46,94.77,93.98
test 2,100,99.87,99.51,99.06,98.39,97.74,97.08,96.34,95.51,94.83,93.96
test 3,100,99.88,99.53,99.05,98.43,97.77,97,96.25,95.54,94.77,94.02
test 4,100,99.88,99.53,99.02,98.43,97.73,97.05,96.3,95.57,94.75,94.1
test 5,100,99.89,99.52,99.02,98.41,97.8,97.04,96.29,95.67,94.75,94.05
test 6,100,99.87,99.5,99.03,98.39,97.7,97.03,96.32,95.44,94.78,94.01
test 7,100,99.87,99.53,99.02,98.44,97.76,97.01,96.25,95.55,94.73,94
test 8,100,99.88,99.54,99.02,98.43,97.77,97.05,96.26,95.52,94.85,94.01
test 9,100,99.87,99.52,99.01,98.44,97.74,97.09,96.23,95.58,94.79,94.03
test 10,100,99.85,99.49,99.06,98.41,97.71,97.04,96.24,95.47,94.73,94.01
