,0.01%,0.1%,0.2%,0.3%,0.4%,0.5%,0.6%,0.7%,0.8%,0.9%,1%
test 1,100,99.81,99.16,98.83,98.53,97.92,96.8,96.22,94.31,95.48,94.16
test 2,100,99.8,99.55,98.87,98.1,98.08,95.49,95.21,95.45,94.99,93.57
test 3,100,99.69,99.21,98.56,98.79,97.36,97.55,95.21,95.08,95.13,92.79
test 4,100,99.7,99.36,99.03,98.05,97.21,96.27,96.38,94.33,95.61,94.88
test 5,99.9,99.85,99.64,99.16,98.8,97.49,96.55,96.06,95.83,94.85,94.7
test 6,100,99.9,99.33,98.57,99.01,97.4,97.06,96.68,96.25,93.56,94.19
test 7,100,99.86,99.41,98.79,98.48,97.43,96.12,95.58,95.58,95.01,94.29
test 8,100,99.89,99.7,98.94,97.98,98.47,97.27,95.82,94.99,94.4,94.09
test 9,100,99.9,99.59,99.34,98.64,97.54,97.3,95.76,95.34,94.81,92.89
test 10,100,99.8,99.63,99.04,98.25,97.51,97.18,95.81,96.35,95.51,93.11
