,0.01%,0.1%,0.2%,0.3%,0.4%,0.5%,0.6%,0.7%,0.8%,0.9%,1%
test 1,100,99.89,99.59,99.15,98.62,98.07,97.46,96.76,96.1,95.44,94.8
test 2,100,99.88,99.59,99.15,98.65,98.04,97.41,96.78,96.11,95.46,94.78
test 3,100,99.89,99.58,99.16,98.61,98.06,97.39,96.75,96.13,95.48,94.84
test 4,100,99.88,99.58,99.16,98.64,98.06,97.43,96.73,96.09,95.49,94.77
test 5,100,99.88,99.6,99.16,98.63,98.07,97.46,96.74,96.14,95.45,94.81
test 6,100,99.89,99.58,99.17,98.63,98.03,97.41,96.79,96.13,95.46,94.77
test 7,100,99.88,99.59,99.16,98.64,98.06,97.43,96.81,96.13,95.45,94.81
test 8,100,99.88,99.59,99.14,98.64,98.01,97.41,96.73,96.11,95.51,94.73
test 9,100,99.89,99.59,99.15,98.63,98.06,97.45,96.77,96.12,95.46,94.76
test 10,100,99.89,99.59,99.18,98.63,98.02,97.43,96.79,96.12,95.42,94.76
