,0.01%,0.1%,0.2%,0.3%,0.4%,0.5%,0.6%,0.7%,0.8%,0.9%,1%
test 1,100,99.87,99.52,99.07,98.52,97.82,97.14,96.38,95.62,94.95,94.12
test 2,100,99.87,99.54,99.07,98.49,97.81,97.13,96.38,95.62,94.91,94.17
test 3,100,99.89,99.52,99.04,98.45,97.78,97.15,96.43,95.67,94.92,94.31
test 4,100,99.87,99.55,99.08,98.5,97.85,97.11,96.4,95.59,94.84,94.2
test 5,100,99.88,99.57,99.06,98.46,97.82,97.15,96.42,95.62,94.9,94.25
test 6,100,99.89,99.54,99.08,98.47,97.79,97.12,96.38,95.63,94.9,94.19
test 7,100,99.87,99.55,99.05,98.51,97.78,97.13,96.46,95.56,94.95,94.11
test 8,100,99.87,99.55,99.1,98.46,97.81,97.11,96.37,95.64,94.83,94.18
test 9,100,99.88,99.54,99.01,98.47,97.81,97.18,96.45,95.64,94.93,94.15
test 10,100,99.88,99.53,99.03,98.46,97.81,97.11,96.35,95.64,94.89,94.14
