,0.01%,0.1%,0.2%,0.3%,0.4%,0.5%,0.6%,0.7%,0.8%,0.9%,1%
test 1,100,99.88,99.55,99.07,98.51,97.86,97.14,96.42,95.74,94.96,94.28
test 2,100,99.87,99.55,99.07,98.49,97.84,97.16,96.45,95.72,94.99,94.28
test 3,100,99.88,99.54,99.06,98.47,97.85,97.14,96.39,95.73,95.01,94.24
test 4,100,99.88,99.55,99.06,98.49,97.88,97.14,96.42,95.65,95,94.24
test 5,100,99.88,99.55,99.09,98.49,97.85,97.17,96.44,95.71,94.99,94.26
test 6,100,99.88,99.54,99.06,98.49,97.83,97.17,96.46,95.71,94.98,94.29
test 7,100,99.88,99.54,99.06,98.51,97.84,97.15,96.45,95.71,95.01,94.25
test 8,100,99.88,99.55,99.06,98.49,97.87,97.17,96.44,95.73,94.98,94.26
test 9,100,99.87,99.56,99.06,98.5,97.85,97.13,96.44,95.73,95.02,94.24
test 10,100,99.88,99.54,99.07,98.51,97.84,97.13,96.44,95.7,94.97,94.27
